word,level,status,mastery,last_seen,scene
food,A1,new,0,,
foot,A1,new,0,,
football,A1,new,0,,
for,A1,new,0,,
foreign,A2,new,0,,
forest,A2,new,0,,
forever,B1,new,0,,
forget,A1,new,0,,
forgive,B2,new,0,,
fork,A2,new,0,,
formal,A2,new,0,,
former,B2,new,0,,
fortunately,A2,new,0,,
fortune,B2,new,0,,
forty number,A1,new,0,,
forward,A2,new,0,,
found,B2,new,0,,
four number,A1,new,0,,
fourteen number,A1,new,0,,
fourth number,A1,new,0,,
free,A1,new,0,,
freedom,B2,new,0,,
freeze,B1,new,0,,
frequency,B2,new,0,,
frequently,B1,new,0,,
fresh,A2,new,0,,
friday,A1,new,0,,
fridge,A2,new,0,,
friend,A1,new,0,,
friendly,A1,new,0,,
friendship,B1,new,0,,
frighten,B1,new,0,,
frightened,B1,new,0,,
frightening,B1,new,0,,
frog,A2,new,0,,
from,A1,new,0,,
frozen,B1,new,0,,
fruit,A1,new,0,,
fry,B1,new,0,,
fuel,B1,new,0,,
full,A1,new,0,,
fully,B2,new,0,,
fun,A1,new,0,,
function,B1,new,0,,
fundamental,B2,new,0,,
funding,B2,new,0,,
funny,A1,new,0,,
fur,B1,new,0,,
furniture,A2,new,0,,
further,A2,new,0,,
furthermore,B2,new,0,,
future,A1,new,0,,
gallery,A2,new,0,,
game,A1,new,0,,
gang,B2,new,0,,
gap,A2,new,0,,
garage,B1,new,0,,
garden,A1,new,0,,
gas,A2,new,0,,
gate,A2,new,0,,
gather,B1,new,0,,
general,A2,new,0,,
generally,B1,new,0,,
generate,B2,new,0,,
generation,B1,new,0,,
generous,B1,new,0,,
genre,B2,new,0,,
gentle,B1,new,0,,
gentleman,B1,new,0,,
geography,A1,new,0,,
get,A1,new,0,,
ghost,B1,new,0,,
gift,A2,new,0,,
girl,A1,new,0,,
girlfriend,A1,new,0,,
give,A1,new,0,,
glad,B1,new,0,,
glass,A1,new,0,,
global,B1,new,0,,
glove,B1,new,0,,
go,A1,new,0,,
goal,A2,new,0,,
god,A2,new,0,,
golf,A2,new,0,,
good,A1,new,0,,
goods,B1,new,0,,
govern,B2,new,0,,
government,A2,new,0,,
grab,B2,new,0,,
grade,B1,new,0,,
gradually,B2,new,0,,
grain,B1,new,0,,
grand,B2,new,0,,
grandfather,A1,new,0,,
grandmother,A1,new,0,,
grandparent,A1,new,0,,
grass,A2,new,0,,
grateful,B1,new,0,,
great,A1,new,0,,
greet,A2,new,0,,
ground,A2,new,0,,
group,A1,new,0,,
grow,A1,new,0,,
growth,B1,new,0,,
guest,A2,new,0,,
guilty,B1,new,0,,
guitar,A1,new,0,,
gun,A2,new,0,,
guy,A2,new,0,,
gym,A1,new,0,,
habit,A2,new,0,,
hair,A1,new,0,,
hall,A2,new,0,,
hand,A1,new,0,,
hang,B1,new,0,,
happen,A1,new,0,,
happily,A2,new,0,,
happiness,B1,new,0,,
happy,A1,new,0,,
hardly,B1,new,0,,
harmful,B2,new,0,,
hat,A1,new,0,,
hate,A1,new,0,,
have,A1,new,0,,
he,A1,new,0,,
head,A1,new,0,,
headache,A2,new,0,,
headline,B1,new,0,,
health,A1,new,0,,
healthy,A1,new,0,,
hear,A1,new,0,,
hearing,B2,new,0,,
heart,A2,new,0,,
heating,B1,new,0,,
heaven,B2,new,0,,
heavily,B1,new,0,,
heavy,A2,new,0,,
heel,B2,new,0,,
height,A2,new,0,,
helicopter,B1,new,0,,
hell,B2,new,0,,
helpful,A2,new,0,,
here,A1,new,0,,
hero,A2,new,0,,
hers,A2,new,0,,
herself,A2,new,0,,
hesitate,B2,new,0,,
hey,A1,new,0,,
hi,A1,new,0,,
hide,A2,new,0,,
high,A1,new,0,,
highly,B1,new,0,,
hill,A2,new,0,,
him,A1,new,0,,
himself,A2,new,0,,
hire,B1,new,0,,
his,A1,new,0,,
historic,B1,new,0,,
historical,B1,new,0,,
history,A1,new,0,,
hobby,A1,new,0,,
hockey,A2,new,0,,
hold,A2,new,0,,
hole,A2,new,0,,
holiday,A1,new,0,,
hollow,B2,new,0,,
holy,B2,new,0,,
homework,A1,new,0,,
honest,B1,new,0,,
hope,A1,new,0,,
horrible,B1,new,0,,
horror,B1,new,0,,
horse,A1,new,0,,
hospital,A1,new,0,,
host,B1,new,0,,
hot,A1,new,0,,
hotel,A1,new,0,,
hour,A1,new,0,,
house,A1,new,0,,
household,B2,new,0,,
housing,B2,new,0,,
how,A1,new,0,,
however,A1,new,0,,
huge,A2,new,0,,
humorous,B2,new,0,,
humour,B2,new,0,,
hundred number,A1,new,0,,
hungry,A1,new,0,,
hunt,B1,new,0,,
hunting,B2,new,0,,
hurricane,B1,new,0,,
husband,A1,new,0,,
ice,A1,new,0,,
idea,A1,new,0,,
ideal,A2,new,0,,
identify,A2,new,0,,
identity,B1,new,0,,
if,A1,new,0,,
ignore,B1,new,0,,
ill,A2,new,0,,
illegal,B1,new,0,,
illness,A2,new,0,,
illustrate,B2,new,0,,
illustration,B2,new,0,,
image,A2,new,0,,
imaginary,B1,new,0,,
imagination,B2,new,0,,
imagine,A1,new,0,,
immediate,B1,new,0,,
immediately,A2,new,0,,
immigrant,B1,new,0,,
impatient,B2,new,0,,
imply,B2,new,0,,
importance,B1,new,0,,
important,A1,new,0,,
impose,B2,new,0,,
